Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Graves	Garret		P	LA06	2021	2/22/2021	20018259
Hon.	Graves	Garret		P	LA06	2021	4/15/2021	20018587
	Gray	Charles		X	WY00	2021	4/7/2021	30011653
Hon.	Green	Mark Dr		P	TN07	2021	1/11/2021	20017867
Hon.	Green	Mark Dr		P	TN07	2021	3/5/2021	20018065
Hon.	Green	Mark Dr		P	TN07	2021	3/20/2021	20018359
Hon.	Green	Mark Dr		P	TN07	2021	3/28/2021	20018471
Hon.	Green	Mark Dr		P	TN07	2021	4/15/2021	20018526
Hon.	Green	Mark Dr		P	TN07	2021	4/15/2021	20018586
Hon.	Green	Mark Dr		P	TN07	2021	4/28/2021	20018602
Mrs.	Greene	Marjorie Taylor		P	GA14	2021	2/19/2021	20018243
Hon.	Hall	Kwanza		T	GA05	2021	2/1/2021	10039492
Hon.	Hall	Kwanza		X	GA05	2021	2/1/2021	30011640
	Harrison	Brian E.		C	TX06	2021	4/1/2021	10039665
Hon.	Heck	Denny		T	WA10	2021	1/28/2021	10039420
Hon.	Hern	Kevin		P	OK01	2021	1/15/2021	20018029
Hon.	Hern	Kevin		P	OK01	2021	2/17/2021	20018232
Hon.	Hern	Kevin		P	OK01	2021	3/15/2021	20018400
Hon.	Hern	Kevin		P	OK01	2021	4/9/2021	20018550
Hon.	Hill	James French		P	AR02	2021	4/27/2021	20018570
	Hinson Arenholz	Ashley		P	IA01	2021	4/5/2021	20018521
Hon.	Hollingsworth	Trey		P	IN09	2021	2/4/2021	8217840
Hon.	Hollingsworth	Trey		P	IN09	2021	3/17/2021	8217902
Hon.	Hollingsworth	Trey		P	IN09	2021	4/14/2021	8217934
	Holloway	Tammy Allison		C	TX06	2021	4/1/2021	10039704
Hon.	Horn	Kendra		T	OK05	2021	2/1/2021	10039475
	Hudson	Jesse Graham		D	MS04	2021	3/25/2021	8217917
Hon.	Huizenga	Bill		P	MI02	2021	3/19/2021	8217905
Hon.	Hurd	William		T	TX23	2021	2/9/2021	10039524
Hon.	Jacobs	Christopher L.		P	NY27	2021	2/10/2021	20018037
Hon.	Jacobs	Christopher L.		P	NY27	2021	2/17/2021	20018205
	Jacobs	Sara		P	CA53	2021	3/12/2021	20018354
	Jedeikin	Mathew Ray		D	CA06	2021	4/21/2021	8217987
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/10/2021	20018554
Hon.	Jeffries	Hakeem S.		P	NY08	2021	4/10/2021	20018555
